PK_CUSTOMER;customerkey;customer;phone;customer_type;business_family;business_unit;line_of_business;regional_sales_mgr;search_type
211c0945fa44264d46a08a6803a8a4ce05d405c5b3ee00362112fc9b0cea9afb;10000472;Aaron Store;816-455-8733;G2;R3;1;\"\";S4;C
453c00b209838884b03e4c0db6da2ce38249733271029f43212c2123cb822972;10025769;UUmail Shop;816-455-8733;G2;R3;1;\"\";S1;C
de6e6f6be289b0a9fefd6fa2cbb5e913556b879350d0e237dcce52ec86d4499c;10003882;Beech Supermarket;816-455-8733;G2;R3;1;\"\";S16;C
3a156fb85b92895f3ac5537400e8a670a6c5dd1bb904f4ca04cd3ecda81f74d9;10019469;kGS Shop;816-455-8733;G2;R3;1;\"\";S1;C
0ab0c969af00551cedff3e4d423cef30a09a011988af70a045c749dd4d758b39;10023235;ReviewBooth Shop;816-455-8733;G2;R2;1;\"\";S3;C
9c3a16fb6c1c1fb6d5e3f5473b2e027d6585a1a97242cfd32e1879bb93bbd37e;10003795;Bechtel Supermarket;816-455-8733;G2;R3;1;\"\";S16;C
0ac878ba0cde5e5bbc99b79d2333c7077e2e21a43375ba4cefdb4be82fb38f6c;10009631;Clearout Shop;816-455-8733;G2;R3;1;\"\";S16;C
ae459e655a48a3758ef82a4a8b01c08104ce0b570c6a90529eb2d875598149a2;10019512;Kim Market;816-455-8733;G2;R3;1;\"\";S16;C
19453a611514644596f12900c6c3dc86e72022864a82bbb31448004e37868da8;10020868;One Market;816-455-8733;G2;R3;1;\"\";S1;C
3468db90616793fdb79420a5542afe1f26d35b72e7a3a00dda848caca33b9eb8;10021184;Pacific Supermarket;816-455-8733;G2;R3;1;\"\";S16;C
ca74b9524beb7a9325937469e7282b10b64e3f14f4f5192282d447d5fddae62a;10025298;U. Supermarket;816-455-8733;G3;R3;1;\"\";S17;C
8943dd7cafec9b165e66866f2a749f6107326f9b0ff119398a7839600749f273;10010882;EDA Supermarket;816-455-8733;G2;R3;1;\"\";S16;I
56ec0dfef371236f79e29c3eba2d261abd2c0c90c3df0083713bb88bf475bed0;10021459;Papyrus Shop;816-455-8733;G2;O2;1;\"\";S12;C
cab1b6220645145b8e8ed6cd6aa6b41e6b3162052dc407085e4402222b07b2ac;10009885;Degolyer Supermarket;816-455-8733;G3;R3;1;\"\";S5;C
e08b507fbcb359d73694f99fbea2c344b0a1cdb82fdf7f8a3fcb7d14d8c9a629;10013312;Gate9th Shop;816-455-8733;G2;R2;1;\"\";S9;C
