PK_LOCALITY;address_number;customer_address_1;customer_address_2;customer_address_3;customer_address_4;zip_code;city;state;country;region_code;region_name;division;division_name
a42ecb04478a8f2c26d11e4d04ecf0153353dd16bd75fdbd779279b7d2454878;10007536;"";"";"";"";"";"";"";"";5;International;1;International
976f8473829c4ab09b24c612cab41df6229e4acc0af1c7d1655d34b016428ac4;10020393;2649 East Mulberry Street;\"\";\"\";\"\";80524;Fort Collins;CO;US;1;Western;2;Domestic
d42a53e32910aeaf14a7b2d800507505eb93e6e0142e151884f5e3e96f447eeb;10018363;EDIF N 4141;Apdo Postal 642 Zona 9-A;\"\";\"\";\"\";Panama Rep De Panama;"";IR;5;International;1;International
03ccb3bfb064afc4834d211a5f6ea30f506b72f5cd87704afcc405c6261354c4;10020491;"";"";"";"";"";"";"";"";5;International;1;International
a36075a5b7a07d1b90176d94aa43d5d23236496f7c30e8d0b29e2b1a7b96e9a9;10011979;Rua Eng Ferreira Dia 241-243;\"\";\"\";\"\";\"\";4100 Porto;"";UK;5;International;1;International
b4eec331773b9a905a3c14e8b88e22100c1684fa04dd7f960d05d255f83fde3e;10014540;Avda Bdo O'Higgins;\"\";\"\";\"\";\"\";1980 Santiago;"";UK;5;International;1;International
6c5478f0393e3e0e45ecc9fbcdaee08e1cfe59d9b7d20b9eb86d91f5ee233c30;10021380;"";"";"";"";"";"";"";"";5;International;1;International
ba1b49eab589b80e6578151db035328ad0bb7dfe00975b5b9ff3aac0d06b61ea;10025769;850 Commerce Street;\"\";\"\";\"\";96002;Redding;CA;US;1;Western;2;Domestic
7f2823b0d2e7649befc225d1e2296b3a1f4ede7f44d766c7d86cee9716f05a31;10021184;14312 Stenbock Way NE #F;\"\";\"\";\"\";97002;Aurora;OR;US;1;Western;2;Domestic
15e3bf5c9f5ec1ba8e5bf048db0e97c8dace93f8406c83d04de27c86c3cc0399;10019617;2445 FM 2920;\"\";\"\";\"\";77388;Spring;TX;US;2;Southern;2;Domestic
735e48d73b6a13f8a393c3dd2c2dab3606ddeb57d2c9a3a10e277768904a1c89;10009676;167 East Kalamazoo Avenue;\"\";\"\";\"\";49007;Kalamazoo;MI;US;4;Central;2;Domestic
ce7cc7babf6de03ffee36ecddca78b0fbb2e1539502c17845415d6049bad6e23;10017054;7640 North Telegraph;\"\";\"\";\"\";O;Newport;MI;US;4;Central;2;Domestic
074ed82a495a4ee81d15dbd4cd5067098d03b1fa2a31366f9cb3bdcad30eb0f1;10012761;Av 6A Norte 25 N 43;\"\";\"\";\"\";\"\";Cali;"";UK;5;International;1;International
28102162b9398b12456646c101304d1652456407db90e37b4a8fa96e2408c618;10022434;PO Box 958;\"\";\"\";\"\";92670;Placentia;CA;US;1;Western;2;Domestic
b80c79c462ca23b96d2b4b801f29f2b2600457a7fa159500e97982a9c83f94c4;10012715;44 Tunkhannock Avenue;\"\";\"\";\"\";18643;Exeter;PA;US;3;Northeast;2;Domestic
babfe5e6c9ff74425fdd1d97cc39a37d3691b0c557d1ac6dfcb63cb64f0fa5a5;10001786;"";"";"";"";"";"";"";"";5;International;1;International
69b6f2e6b4d0fc196e9f1edce588699941a461f16278d065016ea07916b5b8d0;10023715;Central Division;PO BOX 600;\"\";\"\";46168-0600;Plainfield;IN;US;4;Central;2;Domestic
c85e5e94602a3b65621a2f964b6c2e559a2c8bd1660ce6cbc9945ba211f97aa5;10010974;13296 County Highway 00;\"\";\"\";\"\";54729;Chippewa Falls;WI;US;4;Central;2;Domestic
01cf656e90156b752734131c0b83677a6f7346ccb0a1770cfadf182179557c78;10013870;"";"";"";"";"";"";"";"";5;International;1;International
ae61ae5127db1fbc815e370d72653603fac2ffb831bb37b46430a027a7c52dd0;10025242;Parts Division;140-2 Kye-Dong;Chongro-Ku;\"\";110-793;Seoul;"";AU;5;International;1;International
b3c0a46e3f2168e2ea6c8e35734499b820e890f1c1b173b2e9c0719941f8bf08;10017072;4200 S Morgan Street;\"\";\"\";\"\";60609;Chicago;IL;US;4;Central;2;Domestic
1074cb534b31652ca2ff40da4428693d32a17e46c162fa0f0c7b52853f2e7642;10025298;1111 Finch Avenue West;Unit #22;\"\";\"\";M3J 2E5;Toronto;ON;CA;0;Canada;1;International
5d5a0673a73b5846917edd86f8616feaae843f9eb426f5380d2ac725b5027413;10009642;812 Draper Avenue;\"\";\"\";\"\";60432;Joliet;IL;US;4;Central;2;Domestic
a4ef3efa6150d467ffd3637410322aba6c6ebc86e9f6852ed489fdbde45ccab1;10025241;RU-3 Hamamatsu Nishi;PO Box 1;\"\";\"\";432-8611;Hamamatsu City;"";AU;5;International;1;International
71035c1340beceb47d46bcf8be8e8b3254c3f536110120d1c20ea695e6dc5a90;10000460;709 Rivergate Parkway;\"\";\"\";\"\";37072;Goodlettsville;TN;US;2;Southern;2;Domestic
d378c87adcca9bdfcd3d49cd5e3c18f18f0b25b5e437d974e8522ebef8d2228e;10025032;c/o Rampar International Trade Corp.;6260 Place Northcrest Suite 305;\"\";\"\";H3S 2T4;Montreal;QU;CA;0;Canada;1;International
10024b6775b8322c5ddcf11fe03057bdce8c9c3a3ec358394528639bd771af0f;10007121;5711 West 36th Street;\"\";\"\";\"\";55416;St Louis Park;MN;US;4;Central;2;Domestic
8aaa56ecece7acfca04d39713e2f35f3f5e7defc62b0ae020b85cfca8ec47eaa;10020914;PO Box 547;\"\";\"\";\"\";71225-0547;Calhoun;LA;US;2;Southern;2;Domestic
3c0f3166324066e4d3f832a9c4f3112d3336a2e24b6e981fd20ce735ae8c6fc5;10021668;13208 East 40 Highway;\"\";\"\";\"\";64055;Independence;MO;US;4;Central;2;Domestic
2b66563db25e3248130e6452a0ed81e677422894f98fa15a85ac0767ac5ef53c;10009606;PO Box 105;\"\";\"\";\"\";3136;Kilsyth;"";UK;5;International;1;International
